epoch,accuracy,loss,val_accuracy,val_loss
0,0.8679999709129333,0.35264819860458374,0.9975000023841858,0.007094865199178457
1,0.9978333115577698,0.009023967199027538,1.0,0.0038274056278169155
2,0.9993333220481873,0.002172610256820917,1.0,0.0007707063341513276
3,1.0,0.0002712978166528046,1.0,0.00021690689027309418
4,1.0,2.7423671781434678e-05,1.0,2.6905367121798918e-05
5,1.0,8.344132766069379e-06,1.0,2.229819801868871e-05
6,1.0,6.63972377878963e-06,1.0,2.0327708625700325e-05
7,1.0,5.752684955950826e-06,1.0,1.6510499335709028e-05
8,1.0,5.119592970004305e-06,1.0,1.6395153579651378e-05
9,1.0,5.048526872997172e-06,1.0,1.6152134776348248e-05
